Title,Artists,Record Labels,Release Date,Genre,Album,Duration,Language
Dancing In The Dark,Imagine Dragons,Interscope,"May 8, 2018","Pop Rock, Indie Rock, Alternative Rock",Evolve,233933,English
In the Name of Love,"Martin Garrix, Bebe Rexha","STMPD, Epic Amsterdam, Sony Netherlands","July 26, 2016",Future Bass,In the Name of Love,195706,English
Standing In The Right Place,The Verve,Hut,"November 24, 1997",Britpop,Urban Hymn,216693,English
Sweet Creature,Harry Styles,"Erskine, Columbia","August 7, 2017",Folk Rock,Harry Styles,224866,English
Sign Of The Times,Harry Styles,"Erskine, Columbia","August 7, 2017",Rock,Harry Styles,340706,English
Gravity,John Mayer,"Aware, Columbia","July 1, 2008","Pop Rock, Blues Rock, Blue eyed Rock, Soft Rock",Where The Light Is,245826,English
Neon,John Mayer,"Aware, Columbia","November 9, 1999",Adult Contemporary,Inside wants out,262106,English
Neon,John Mayer,"Aware, Columbia","July 1, 2008",Adult Contemporary,Where The Light Is,262106,English
Stop This Train,John Mayer,"Aware, Columbia","July 1, 2008","R&B, Soul",Where The Light Is,285000,English
Stop This Train,John Mayer,"Aware, Columbia","November 15, 2006","R&B, Soul",Continuum,285000,English
Everyday I Have The Blues,John Mayer,"Aware, Columbia","August 20, 2008",Adult Contemporary,Continuum,254266,English
Everyday I Have The Blues,John Mayer,"Aware, Columbia","November 21, 2008",Adult Contemporary,Where The Light Is,254266,English
Next to Me,Imagine Dragons,Interscope,"February 21, 2018","Indie rock, Pop",Evolve,230288,English
Yesterday,Imagine Dragons,Interscope,"May 8, 2018","Pop Rock, Indie Rock, Alternative Rock",Evolve,205113,English
Shameless,Camila Cabello,EpicSyco,"June 21, 2019",Pop,Romance,219742,English
Liar,Camila Cabello,EpicSyco,"September 5, 2019",Pop,Romance,207038,English
Cry for Me,Camila Cabello,EpicSyco,"October 4, 2019",Pop,Romance,189133,English
Living Proof,Camila Cabello,EpicSyco,"November 15, 2019",Pop,Romance,194440,English
Easy,Camila Cabello,EpicSyco,"October 11, 2019",ska Pop,Romance,194686,English
Lights up,Harry Styles,"Erskine, Columbia","October 11, 2019",Pop,Fine Line,172213,English
Watermelon Sugar,Harry Styles,"Erskine, Columbia","November 16, 2019",Pop,Fine Line,174000,English
Kahaan hoon main,A.R.Rahman,T-series,"January 24, 2014","Pop, Romantic",Highway,327362,Hindi
Maahi Ve,A.R.Rahman,T-series,"January 24, 2014","Indipop, Dance",Highway,223999,Hindi
Tera Zikr,Darshan Raval,Sony Music India,"November 8, 2017",Indian pop music,Tera Zikr,208500,Hindi
Khwaishein,Arijit Singh,T-series,"August 23, 2015",Romantic,The Epic Collection,310288,Hindi
Raabta,Arijit Singh,T-series,"August 23, 2015",Romantic,The Epic Collection,297158,Hindi
Badra Bahaar,Amit Trivedi,T-series,"January 30, 2014",Indian pop Music,Queen,214131,Hindi
Jugni,Amit Trivedi,T-series,"January 30, 2014",Indie Rock Music,Queen,262733,Hindi
Tu Hi Hai,Amit Trivedi,Sony Music Entertainment,"November 15, 2015",Romantic,Dear Zindagi,199643,Hindi
Beatific,Ritviz,"Su Real, Ritviz","December 24, 2014",Dubstep,Vizdumb,240000,Hindi
I feel love,Ritviz,"Su Real, Ritviz","December 24, 2014",Dubstep,Vizdumb,254453,Hindi
Tum Chal Diye,Arjun Kanumgo,Junglee Music,"June 25, 2014","Acoustic, Romantic",Pizza,206329,Hindi
Choo Lo,The Local Train,MTV,"June 9, 2015",Rock,Aalas ka pedh,233630,Hindi
Gustaakh,The Local Train,MTV,"May 8, 2018",Rock,Vaaqif,184320,Hindi
Khudi,The Local Train,MTV,"May 8, 2018",rock,vaaqif,297642,Hindi
Mere Yaar,The Local Train,MTV,"June 8, 2018",Rock,vaaqif,286720,Hindi
Mizaaj,The Local Train,MTV,"July 21, 2018",Rock,vaaqif,263509,Hindi
Dil Mere,The Local Train,MTV,"June 7, 2015",Rock,Aalas ka pedh,211290,Hindi
Love Dose,Yo Yo Honey Singh,T-series,"August 26, 2014",Rock Punjabi,Desi Kalakar,224444,Punjabi
One Thousand Miles,Yo Yo Honey Singh,T-series,"August 28, 2014",Rock Punjabi,Desi Kalakar,283074,Punjabi
Kalesh,Milind gaba,T-series,"March 3, 2018",Rock Punjabi,Milind Gaba,173662,Punjabi
Main Teri Ho Gayi,Milind gaba,T-series,"July 7, 2018",Romantic,Milind Gaba,173662,Punjabi
Ishare tere,Guru Randhawa,T-series,"August 5, 2018",Rock Punjabi,Ishare tere,259685,Punjabi
Lahore,Guru Randhawa,T-series,"November 16, 2017",Rock,Lahore,197390,Punjabi
Belly Ring,Mika Singh,T-series,"June 2, 2019",Rock,Mika Singh Songs,197640,Punjabi
Hawa Hawa,Mika Singh,T-series,"October 14, 2017",Indiepop,Mika Singh Songs,171987,Punjabi
Despacito,"Luis Fonsi, Daddy Yankee, ",Universal Latin,"January 12, 2017",Latin pop,Vida,228826,Spanish
Échame la Culpa,Luis Fonsi,Universal Latin,"November 17, 2017",Latin pop,Vida,173800,Spanish
Calypso,Luis Fonsi,Universal Latin,"June 14, 2018",Latin pop,Vida,200973,Spanish
Imposible,Luis Fonsi,Universal Latin,"October 19, 2018",Latin pop,Vida,164533,Spanish
Sola,Luis Fonsi,Universal Latin,"January 23, 2019",Latin pop,Vida,243560,Spanish
Mi Gente," J Balvin, Willy William",Columbia,"June 30, 2017",Dance/Electronic,Mi Gente,185040,Spanish
La Tortura,Shakira,Epic,"April 12, 2005",Latin pop,"Fijación Oral, Vol. 1",212893,Spanish
No,Shakira,Epic,"July 2, 2005",Latin pop,"Fijación Oral, Vol. 1",260000,Spanish
Día de Enero,Shakira,Epic,"January 19, 2006",Latin pop,"Fijación Oral, Vol. 1",135511,Spanish
Las de la Intuición,Shakira,Epic,"May 14, 2007",Latin pop,"Fijación Oral, Vol. 1",220666,Spanish
Lo Imprescindible,Shakira,Epic,"May 8, 2005",Latin pop,"Fijación Oral, Vol. 1",234866,Spanish
